BrandName,Deatils,Sizes,Womens_Category,MRP_,Discount_percent,SellPrice_
zink london,solid polyester v neck womens top - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1399.0,40.0,839.0
life,printed cotton blend collar neck womens t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,999.0,50.0,499.0
madame,printed polyester blend square neck womens dress - green,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,2699.0,40.0,1619.0
zink london,solid polyester scoop neck womens bodycon dress - baby pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2499.0,40.0,1499.0
rare,floral polyester v neck womens flared dress - blue,"Size:Large,Medium,Small,X-Large",Westernwear,2099.0,55.0,944.0
fratini,solid round neck viscose womens regular dress - black,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1499.0,50.0,749.0
iti,solid georgette collar neck womens top - olive,"Size:Small,X-Small",Westernwear,1499.0,73.0,399.0
rare,solid comfort fit polyester womens casual wear trousers - black,"Size:Large,Medium,Small,X-Large",Westernwear,1599.0,55.0,719.0
levis,graphic cotton round neck womens t-shirt - brown,"Size:Large,Medium,Small,X-Small",Westernwear,2008.5116138398257,0.0,1199.0
cover story,regular fit polyester womens casual trousers - pink,"Size:26,28,30,32,34",Westernwear,2590.0,30.0,1813.0
zink london,printed v neck polyester womens a-line dress - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2299.0,50.0,1149.0
and,polka dots boat neck viscose womens regular dresses - pink,"Size:8,10,12,14,16,18",Westernwear,2899.0,20.0,2319.0
van heusen,solid cotton v neck womens formal shirt - green,"Size:Large,Medium,Small",Westernwear,1999.0,60.0,799.0
life,printed cotton lycra round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,699.0,50.0,349.0
life,solid cotton blend round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large",Westernwear,899.0,50.0,449.0
faballey,printed georgette round neck womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2800.0,20.0,2240.0
levis,tapered fit regular length cotton womens jeans - dk indigo,"Size:26,28,30,32,34",Westernwear,2008.5116138398257,0.0,3799.0
rare,floral polyester v neck womens flared dress - natural,"Size:Large,Medium,Small",Westernwear,2099.0,55.0,944.0
rare,solid polyester round neck womens a-line dress - red,"Size:Large,Medium,Small,X-Large",Westernwear,1999.0,60.0,799.0
rare,solid georgette round neck womens top - maroon,"Size:Large,Small,X-Large",Westernwear,1399.0,60.0,559.0
stop,printed viscose regular neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,999.0,50.0,499.0
fratini,printed viscose collar neck womens a-line dress - black,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1599.0,50.0,799.0
life,solid cotton lycra round neck womens t-shirt - off white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,699.0,50.0,349.0
life,printed jersey round neck womens t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,599.0,50.0,299.0
only,checks cotton womens top - white,"Size:34,36,38,40,42",Westernwear,1999.0,30.0,1399.0
life,regular fit regular length cotton lycra womens jeans - white,"Size:26,28,30,32,34,36",Westernwear,1299.0,50.0,649.0
van heusen,solid polyester collar neck womens top - black,"Size:Small,X-Small",Westernwear,1699.0,41.0,999.0
fratini,solid polyester round neck womens a-line dress - aubergine,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1599.0,50.0,799.0
life,printed cotton lycra round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,699.0,50.0,349.0
fratini,solid round neck viscose womens regular dress - tan,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1499.0,50.0,749.0
kraus,super skinny fit ankle length cotton blend womens jeans - blue,"Size:28,30,32,34,36,38",Westernwear,1995.0,30.0,1396.0
life,checks cotton blend collar neck womens regular top - sage,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1299.0,50.0,649.0
life,embroidered cotton blend round neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1299.0,50.0,649.0
