BrandName,Deatils,Sizes,Womens_Category,MRP_,Discount_percent,SellPrice_
and,womens regular fit solid dress - light olive,"Size:8,10",Westernwear,2499.0,50.0,1249.0
faballey,solid collar neck cotton womens regular dresses - red,"Size:Large,Medium,Small,X-Small",Westernwear,1900.0,20.0,1520.0
latin quarters,solid pu mandarin womens casual jacket - red,"Size:S,M,L,XL",Westernwear,4499.0,30.0,3149.0
zink london,printed polyester blend womens regular top - natural,Size:Large,Westernwear,1599.0,60.0,639.0
marie claire,solid mandarin neck suede womens casual jacket - maroon,Size:Small,Westernwear,3799.0,50.0,1899.0
enamor,cotton blend womens active wear track pants - spice,"Size:XL,Large,Medium,Small,XX-Large",Westernwear,1049.0,30.0,734.0
pepe,solid cotton blend regular fit womens shorts - black,"Size:26,28,30,32,34",Westernwear,2499.0,40.0,1499.0
faballey,embellished halter neck georgette womens regular dress - purple,Size:X-Small,Westernwear,2800.0,50.0,1400.0
zink london,solid round neck acrylic womens sweater - yellow,"Size:Large,Medium,Small,X-Large",Westernwear,1899.0,60.0,759.0
zink london,solid polyester square neck womens top - yellow,"Size:Large,Medium,Small,X-Large",Westernwear,1399.0,20.0,1119.0
jockey,solid cotton blend womens socks - multi,Free Size,Westernwear,2008.5116138398257,0.0,218.0
and,floral polyester v- neck women a line tops - red,Size:16,Westernwear,1799.0,30.0,1259.0
faballey,printed georgette square neck womens regular top - green,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1400.0,20.0,1120.0
magre,printed polyester blend womens dress - brown,"Size:Small,X-Small",Westernwear,2190.0,55.0,985.0
janasya,solid round neck cotton flex regular fit womens night suit - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1999.0,55.0,899.0
dolce crudo,solid hood fleece womens relaxed dress - navy,"Size:Medium,Small,X-Small",Westernwear,3199.0,50.0,1599.0
adidas,solid fitted fit polyester womens track pants - black,"Size:X-Large,XX-Large,XXX-Large",Westernwear,2699.0,30.0,1889.0
crimsoune club,womens red solid shirt - maroon,"Size:Large,Medium,X-Large,XX-Large",Westernwear,1299.0,20.0,1039.0
and,womens regular fit solid jumpsuit - burgundy,Size:16,Westernwear,3299.0,50.0,1649.0
w,womens solid casual pants - natural,"Size:6,8,10,12,14,16,18",Westernwear,2008.5116138398257,40.0,999.0
crimsoune club,solid mandarin neck poly cotton womens casual jacket - navy,"Size:X-Large,XX-Large",Westernwear,2699.0,60.0,1079.0
kraus,solid collared neck tencel womens casual shirt - light blue,Size:Large,Westernwear,1499.0,50.0,749.0
adidas,solid polyester round neck womens t-shirt - purple,Size:Small,Westernwear,1599.0,30.0,1119.0
faballey,solid v neck crepe womens regular jumpsuits - red,"Size:Large,Medium,Small,X-Small",Westernwear,2200.0,20.0,1760.0
is.u,womens black ruffled sleeve shirt - black,Size:XX-Large,Westernwear,2490.0,50.0,1245.0
life,stripes cotton round neck womens regular t-shirt - ocean,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,499.0,50.0,249.0
madame,womens checked jeggings - blue,"Size:26,28,30,32,34",Westernwear,2199.0,50.0,1099.0
pepe,skinny fit cotton blend womens jeans - denim,"Size:26,28,30,32,34",Westernwear,2999.0,40.0,1799.0
crimsoune club,slim fit thigh length cotton womens casual shorts - brown,"Size:Large,Medium,X-Large",Westernwear,1399.0,30.0,979.0
vero moda,solid cotton v neck womens  tops - green,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1899.0,30.0,1329.0
only,aop cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1499.0,50.0,749.0
faballey,floral off shoulder georgette womens a-line dress - pink,Size:Medium,Westernwear,2250.0,50.0,1125.0
zink london,solid shirt collar polyester womens casual jacket - blue,"Size:Large,Medium,Small,X-Large",Westernwear,2699.0,60.0,1079.0
vero moda,solid v neck rayon womens midi dress - peach,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2008.5116138398257,30.0,4799.0
van heusen,skinny fit ankle length nylon fleece womens leggings - sage,"Size:Large,Medium,Small,X-Large",Westernwear,2008.5116138398257,41.0,1399.0
altlife,printed cotton regular neck womens t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,499.0,50.0,249.0
sera,printed viscose rayon v-neck womens top - orange,"Size:Large,Medium,Small,X-Large",Westernwear,1398.0,50.0,699.0
campus sutra,womens hooded top - white,"Size:Large,Medium,Small,X-Large",Westernwear,2008.5116138398257,0.0,899.0
faballey,solid cotton v neck womens shift dress - black,"Size:Large,Medium,Small,X-Small",Westernwear,1800.0,50.0,900.0
kraus,skinny fit ankle length cotton womens jeans - light blue,"Size:28,30,32,34,36,38",Westernwear,2095.0,30.0,1466.0
faballey,embellished georgette square neck womens top - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1400.0,20.0,1120.0
allen solly,womens round neck solid a-line dress - fuschia,Size:X-Small,Westernwear,2299.0,40.0,1379.0
samshek,solid v-neck crepe womens regular dress - yellow,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",Westernwear,2490.0,20.0,1992.0
crimsoune club,stripes collared cotton blend womens jumpsuits - grey,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1899.0,50.0,949.0
faballey,solid round neck cotton womens tiered dress - red,"Size:Medium,X-Small",Westernwear,2200.0,50.0,1100.0
campus sutra,solid crepe v neck womens top - pink,"Size:Large,Medium,Small,X-Large",Westernwear,2008.5116138398257,0.0,1299.0
zink z,regular fit mid thigh cotton womens casual shorts - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2008.5116138398257,0.0,1499.0
dolce crudo,womens perfect statement colourblock jacket - multi,"Size:Large,Small,X-Small",Westernwear,2349.0,45.0,1291.0
vero moda,solid viscose v neck womens top - natural,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2599.0,20.0,2079.0
faballey,floral sweetheart neck georgette womens regular fit top - blue,"Size:Large,Medium,Small,X-Small",Westernwear,1400.0,50.0,700.0
fratini,solid cotton round neck womens t-shirt - pink mix,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,2008.5116138398257,50.0,799.0
zink london,printed viscose u neck womens dress - orange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2299.0,40.0,1379.0
gipsy,solid v-neck polyester womens fit and flare dress - brick,"Size:Large,Medium,X-Large",Westernwear,2008.5116138398257,30.0,2595.0
gipsy,solid hooded neck cotton womens sweatshirt - blue,"Size:Large,X-Large,XX-Large",Westernwear,2195.0,30.0,1536.0
jealous 21,super skinny fit ankle length denim womens jeans - black,"Size:26,28,30,32,34",Westernwear,2008.5116138398257,0.0,1899.0
crimsoune club,printed y neck lyocell womens dresses - natural,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",Westernwear,1899.0,20.0,1519.0
life,solid regular neck cotton womens cardigan - olive,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1699.0,50.0,849.0
only,solid cotton round neck womens t-shirt - natural,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1699.0,30.0,1189.0
109f,womens embroidered casual skirt - grey,"Size:Small,XX-Large",Westernwear,2499.0,60.0,999.0
zink london,tie and dye viscose square neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1699.0,40.0,1019.0
reebok,solid regular fit polyester womens sports top - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,3799.0,50.0,1899.0
global desi,ethnic motifs full sleeves viscose womens full length jumpsuit - black,"Size:Large,Medium,Small,X-Small",Westernwear,3499.0,20.0,2799.0
juniper,printed boat neck cotton womens tiered dress - mustard,"Size:5X-Large,X-Large,XXX-Large",Westernwear,3399.0,55.0,1529.0
puma,printed polyester crew neck womens t-shirt - black,"Size:Large,Medium,X-Large,X-Small",Westernwear,2499.0,30.0,1749.0
iti,womens pink pleated top - pink,"Size:Large,Small,X-Small",Westernwear,2008.5116138398257,68.0,1699.0
fila,cotton round neck womens t-shirt - white,Size:Large,Westernwear,2008.5116138398257,0.0,999.0
crimsoune club,womens beige solid cigarette trousers - navy,"Size:X-Large,XX-Large,XXX-Large",Westernwear,1499.0,30.0,1049.0
sera,printed pure cotton v-neck womens top - white,"Size:Large,Medium,X-Large",Westernwear,1398.0,50.0,699.0
allen solly,checks polyester regular fit womens blazer - mid blue,"Size:Large,Medium,Small,X-Large",Westernwear,3999.0,20.0,3199.0
sera,solid cotton blend v-neck womens blouson top - magenta,"Size:Large,Medium,Small",Westernwear,1294.0,50.0,647.0
kraus,solid cotton round neck womens t-shirt - fuchsia,"Size:Medium,Small,X-Small",Westernwear,999.0,30.0,699.0
latin quarters,printed round neck polyester womens regular fit dress - yellow,"Size:S,M",Westernwear,2699.0,50.0,1349.0
vero moda,solid viscose v neck womens top - green,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2599.0,30.0,1819.0
pepe,loose fit cotton womens casual shorts - denim,"Size:26,28,30,32,34",Westernwear,2499.0,40.0,1499.0
campus sutra,womens knit regular fit shirt - navy,"Size:Medium,X-Large",Westernwear,2008.5116138398257,0.0,1399.0
faballey,printed collar neck georgette womens straight fit maxi dress - pink,"Size:Small,X-Large",Westernwear,2300.0,50.0,1150.0
samshek,solid round neck polyester womens regular dress - purple,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",Westernwear,2008.5116138398257,20.0,2790.0
louis philippe,floral cotton v- neck womens a line dress - white,"Size:Medium,Small,X-Small",Westernwear,3290.0,50.0,1645.0
forever new,floral viscose sweetheart neck womens regular dress - print,"Size:6,8",Westernwear,6200.0,30.0,4340.0
indya,solid regular fit georgette womens festive wear pants - pink,"Size:Small,X-Small",Westernwear,2100.0,50.0,1050.0
vero moda,solid shirt collar cotton womens dress - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,3299.0,50.0,1649.0
sera,floral sleeveless rayon blend womens regular jumpsuits - blue,Size:X-Large,Westernwear,3998.0,55.0,1799.0
hidesign,leather resuable unisex face mask - blue,Free Size,Westernwear,2008.5116138398257,0.0,495.0
fratini,printed polyester off shoulder womens regular top - mustard,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,899.0,50.0,449.0
latin quarters,solid polyester boat neck womens regular dress - black,Size:S,Westernwear,2499.0,50.0,1249.0
enamor,cotton womens active wear t-shirt - midnight blue,"Size:XL,Large,Medium,Small,XX-Large",Westernwear,2008.5116138398257,50.0,799.0
faballey,solid square neck crepe womens regular top - green,Size:Large,Westernwear,1400.0,50.0,700.0
crimsoune club,skinny ankle length cotton blend womens jeans - blue,"Size:28,30,32,34,36",Westernwear,1999.0,20.0,1599.0
samshek,solid collar neck polyester womens casual jacket - black,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",Westernwear,2900.0,20.0,2320.0
spykar,printed viscose spread collar womens casual wear shirt - black,"Size:Large,Medium,Small,X-Large",Westernwear,1699.0,30.0,1189.0
levis,skinny fit regular cotton womens jeans - indigo,"Size:28,30,32,34",Westernwear,2008.5116138398257,0.0,4599.0
global desi,womens solid tie-up neck top - off white,Size:XL,Westernwear,2299.0,60.0,919.0
sera,checks sleeveless polyester womens midi length jumpsuit - white,"Size:Medium,Small",Westernwear,1694.0,60.0,677.0
iti,womens flowy kaftan top - red,Size:Small,Westernwear,2008.5116138398257,68.0,1499.0
de moza,solid round neck cotton womens sweatshirt - lime green,Size:XX-Large,Westernwear,2008.5116138398257,40.0,1499.0
crimsoune club,womens green solid sweat shirt - green,Size:Medium,Westernwear,1899.0,60.0,759.0
sera,printed polyester v-neck womens top - black,"Size:Large,Medium,Small,X-Large",Westernwear,1298.0,55.0,584.0
adidas,printed regular fit polyester womens track pants - red,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2999.0,30.0,2099.0
dolce crudo,womens regular fit coolest on internet skinny jeans navy blue - navy,"Size:26,28,30,32,34",Westernwear,2349.0,55.0,1057.0
sera,womens regular fit printed trousers - black,Size:Large,Westernwear,1494.0,60.0,597.0
spykar,printed cotton round neck womens t-shirt - mustard,"Size:Large,Medium,Small,X-Large",Westernwear,1099.0,30.0,769.0
allen solly,stripes polyester womens formal wear blazer - black,"Size:Large,XX-Large",Westernwear,2008.5116138398257,40.0,3799.0
enamor,cotton womens active wear t-shirt - salmon,"Size:XL,Large,Medium,Small,XX-Large",Westernwear,2008.5116138398257,50.0,899.0
only,solid sleeveless polyester womens maxi jumpsuits - green,"Size:34,36,38,40,42",Westernwear,4499.0,50.0,2249.0
jealous 21,solid cotton collar neck womens casual shirt - indigo,"Size:Large,Medium,Small,X-Large",Westernwear,2008.5116138398257,0.0,2199.0
and,solid viscose round neck women regular tops - blue mix light,"Size:8,10,12,14,16,18",Westernwear,2499.0,50.0,1249.0
crimsoune club,womens blue striped shorts - navy,"Size:26,28,32",Westernwear,1899.0,40.0,1139.0
and,solid viscose mandarin collar womens straight top - lilac,Size:8,Westernwear,1699.0,50.0,849.0
and,solid cotton round neck women regular tops - black & white,"Size:14,16",Westernwear,2699.0,50.0,1349.0
only,solid rayon round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2008.5116138398257,30.0,1999.0
and,solid full sleeves polyester womens knee length jacket - black,"Size:8,10,12,16,18",Westernwear,2899.0,50.0,1449.0
life,solid viscose blend round neck womens active wear top - lime green,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,899.0,50.0,449.0
latin quarters,solid rayon blend round neck womens regular casual top - pink,"Size:S,M,L,X-Small",Westernwear,799.0,38.0,499.0
vero moda,printed cotton v neck womens dress - white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,3499.0,30.0,2449.0
zink london,structured acrylic high neck womens tops - green,"Size:Large,X-Large",Westernwear,1999.0,60.0,799.0
latin quarters,printed rayon v- neck womens regular top - natural,"Size:M,L,XL",Westernwear,1399.0,64.0,499.0
zink london,printed round neck rayon womens dresses - maroon,"Size:Large,Medium,Small,X-Large",Westernwear,3299.0,60.0,1319.0
miss chase,womens skinny fit clean look jeans - light blue,"Size:26,28,30,32,34",Westernwear,2008.5116138398257,50.0,2299.0
and,printed v- neck polyester women flared dress - multi,"Size:8,12,14,16",Westernwear,2899.0,50.0,1449.0
rare,solid crepe sweetheart neck womens regular fit top - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1499.0,60.0,599.0
cover story,solid cotton round neck women regular women t-shirt - blue,"Size:Small,X-Small",Westernwear,1290.0,47.0,690.0
miss chase,womens regular fit joggers - blue,"Size:26,28,30,32,34",Westernwear,2008.5116138398257,50.0,2299.0
rare,printed polyester v-neck womens regular fit top - black,"Size:Large,Medium,X-Large",Westernwear,1499.0,60.0,599.0
global desi,womens geometric top - natural,"Size:Medium,Small,X-Small",Westernwear,1699.0,70.0,509.0
rare,striped regular fit polyester womens casual shorts - black,"Size:28,30,32",Westernwear,1399.0,55.0,629.0
allen solly,womens 3 pocket solid trousers - dark blue,"Size:26,30,32,34,36",Westernwear,1799.0,20.0,1439.0
kraus,slim fit cotton blend womens casual wear shorts - mid blue,Size:28,Westernwear,1395.0,50.0,697.0
and,womens striped fit and flare dress - black mix,Size:8,Westernwear,2008.5116138398257,30.0,2999.0
faballey,solid round neck georgette womens a line dresses - purple,Size:X-Small,Westernwear,2600.0,50.0,1300.0
faballey,printed round neck georgette womens shift dress - blue,Size:Large,Westernwear,2100.0,50.0,1050.0
magre,solid satin square neck womens front slit dress - rust,"Size:Small,X-Small",Westernwear,3690.0,45.0,2029.0
is.u,solid round neck cotton womens regular fit dress - black,Size:Large,Westernwear,990.0,50.0,495.0
and,solid half sleeves viscose womens three quarter length jumpsuit - light blue,"Size:8,10,12,14",Westernwear,2008.5116138398257,30.0,2699.0
iti,womens ruffle sleeve shirt - brown,"Size:Medium,Small",Westernwear,2008.5116138398257,68.0,1699.0
faballey,printed halter neck crepe womens straight fit maxi dress - black,Size:Medium,Westernwear,2200.0,50.0,1100.0
global desi,self design key hole neck womens top - sage,"Size:Medium,Small,X-Small",Westernwear,1599.0,40.0,959.0
is.u,regular fit ankle length cotton blend womens jeans - blue,Size:36,Westernwear,2490.0,50.0,1245.0
109f,womens open front neck slub long shrug - grey,Size:Small,Westernwear,1799.0,60.0,719.0
faballey,embellished round neck crepe womens regular dress - pink,"Size:Medium,Small",Westernwear,2200.0,50.0,1100.0
faballey,solid cotton round neck womens peplum top - blue,Size:Small,Westernwear,1600.0,50.0,800.0
iti,womens purple embellished pleat maxi - purple,"Size:Small,X-Small",Westernwear,2008.5116138398257,68.0,3499.0
global desi,womens viscose rayon trousers - indigo,"Size:Large,Small,X-Small",Westernwear,1599.0,60.0,639.0
puma,polyester round neck womens athleisure top - blue,"Size:Small,X-Large",Westernwear,1499.0,30.0,1049.0
lovegen,womens checked casual long shirt - checks,Size:Small,Westernwear,1899.0,70.0,569.0
zink london,dyed rayon regular fit womens top - white,"Size:Large,X-Large",Westernwear,1499.0,60.0,599.0
latin quarters,printed v- neck polyester womens regular dress - ivory,Size:S,Westernwear,2799.0,71.0,799.0
is.u,womens black side slit ribbed dress - black,Size:Medium,Westernwear,1890.0,50.0,945.0
sera,womens regular fit solid high neck top - grey,"Size:Large,Medium,Small,X-Large",Westernwear,1094.0,50.0,547.0
latin quarters,solid polyester v neck womens regular dress - black,"Size:S,M",Westernwear,2999.0,30.0,2099.0
is.u,printed cotton womens regular fit top - yellow,"Size:Large,X-Large,XX-Large",Westernwear,2190.0,55.0,985.0
zink london,womens regular fit structure round neck top - pink,Size:X-Small,Westernwear,1399.0,64.0,499.0
madame,womens round neck striped top - navy,Size:Large,Westernwear,1899.0,50.0,949.0
latin quarters,dyed boat neck polyester womens regular dress - black,"Size:S,M",Westernwear,2399.0,30.0,1679.0
zink london,solid eco liva v-neck womens regular top - mint,"Size:X-Small,XX-Large",Westernwear,1399.0,60.0,559.0
sera,solid v neck polyester womens regular dress - blue,Size:Small,Westernwear,1998.0,60.0,799.0
indya,embroidered cotton womens casual wear jackets - grey,"Size:Medium,Small",Westernwear,1600.0,50.0,800.0
and,womens solid round neck straight jumpsuit - navy,Size:18,Westernwear,2008.5116138398257,30.0,2499.0
latin quarters,dyed rayon shirt collar womens regular top - ivory,Size:M,Westernwear,1399.0,64.0,499.0
latin quarters,solid off shoulder polyester blend womens regular fit dress - black,"Size:S,M,XL",Westernwear,2008.5116138398257,50.0,2999.0
latin quarters,solid pu mandarin womens casual jacket - green,"Size:S,M,L,XL",Westernwear,4499.0,30.0,3149.0
and,solid square neck polyester women flared dress - blue mix light,Size:14,Westernwear,2999.0,30.0,2099.0
and,floral v- neck polyester women flared dress - white,"Size:8,14,16",Westernwear,2899.0,30.0,2029.0
marie claire,solid polyester round neck womens top - peach,Size:X-Small,Westernwear,1899.0,50.0,949.0
van heusen,checks polyester womens formal jacket - mid blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2008.5116138398257,41.0,3999.0
jealous 21,structured round neck cotton womens regular top - yellow,"Size:Large,Medium,Small,X-Large",Westernwear,2008.5116138398257,0.0,1099.0
global desi,solid straight fit viscose rayon womens work wear trousers - white,"Size:XL,Large,Medium,Small,X-Small",Westernwear,2699.0,50.0,1349.0
faballey,floral georgette v neck womens dress - purple,"Size:Large,Medium,X-Large,X-Small",Westernwear,1950.0,20.0,1560.0
global desi,floral tie up neck womens top - aqua,"Size:Large,Medium,Small,X-Small",Westernwear,1699.0,50.0,849.0
vero moda,printed cotton round neck womens t-shirt - purple,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2299.0,30.0,1609.0
109f,womens mandarin collar striped long shirt - lime green,Size:Small,Westernwear,1599.0,60.0,639.0
dolce crudo,womens regular fit put your positive denim jeans black - black,"Size:26,28,30,34",Westernwear,2399.0,55.0,1079.0
vero moda,printed cotton round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2499.0,20.0,1999.0
samshek,solid v neck polyester womens regular dress - maroon,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",Westernwear,2490.0,10.0,2241.0
fratini,printed cotton round neck womens regular t-shirt - red,"Size:Large,Medium,Small",Westernwear,599.0,50.0,299.0
life,womens printed socks pack of 3 - assorted - multi,Free Size,Westernwear,2008.5116138398257,50.0,299.0
zink z,regular fit mid thigh cotton womens casual shorts - grey,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2008.5116138398257,0.0,1399.0
madame,womens band collar slub ruffle top - maroon,"Size:Large,Medium,X-Large",Westernwear,2299.0,50.0,1149.0
stop,textured mandarin polyester womens coat - off white,"Size:Large,Medium,Small,X-Large",Westernwear,2999.0,50.0,1499.0
van heusen,printed cotton collar neck womens dress - mid blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2008.5116138398257,41.0,3299.0
reebok,printed regular fit polyester womens sports top - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2999.0,50.0,1499.0
levis,solid cotton round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Small",Westernwear,2008.5116138398257,0.0,1599.0
enamor,cotton activewear womens track pants - acid green,"Size:XL,Large,Medium,Small",Westernwear,2008.5116138398257,50.0,1599.0
zink london,solid notched polyester womens casual jacket - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2299.0,60.0,919.0
magre,animal print polyester blend turtle neck womens top - multi,"Size:Large,Medium,Small,X-Small",Westernwear,1590.0,45.0,874.0
fratini,solid regular neck viscose blend womens cardigan - blush,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1699.0,50.0,849.0
samshek,solid one shoulder crepe womens bodycon dress - red,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",Westernwear,2990.0,30.0,2093.0
reebok,regular fit polyester cotton womens track pants - grey,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2499.0,50.0,1249.0
madame,floral polyester collared neck womens regular fit top - white,Size:XX-Large,Westernwear,1799.0,50.0,899.0
faballey,embellished georgette halter neck womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1500.0,20.0,1200.0
life,printed cotton round neck womens regular t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,399.0,50.0,199.0
u.s. polo assn.,unisex adults assorted triple layer reversible anti bacterial reusable face masks - pack of 3 - multi,"Size:Large,Medium",Westernwear,2008.5116138398257,50.0,499.0
global desi,womens solid bodycon top - black,"Size:XL,Large,Medium,Small,X-Small",Westernwear,1599.0,60.0,639.0
puma,printed polyester round neck womens athleisure top - purple,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2299.0,30.0,1609.0
van heusen,skinny fit knee length cotton stretch womens leggings - black,"Size:Large,Medium,Small,X-Large",Westernwear,2008.5116138398257,41.0,1199.0
cover story,solid polyester v neck womens dress - lilac,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2008.5116138398257,40.0,2890.0
van heusen,printed viscose round neck womens regular fit top - off white,"Size:Large,Medium,Small,X-Large",Westernwear,2008.5116138398257,41.0,1499.0
emblaze,womens green sheath dress - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2008.5116138398257,0.0,3000.0
sera,floral sweetheart neck rayon blend womens regular dress - black,"Size:Large,Medium,Small,X-Large",Westernwear,2998.0,55.0,1349.0
jealous 21,solid round neck viscose womens regular top - black,"Size:Large,Medium,Small,X-Large",Westernwear,2008.5116138398257,0.0,899.0
allen solly,solid viscose round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1699.0,12.0,1499.0
crimsoune club,slim mid thigh cotton blend womens casual wear shorts - black,"Size:26,28,30,32,34,36",Westernwear,1799.0,40.0,1079.0
kraus,solid collared neck cotton womens casual jacket - olive,"Size:Large,Medium,Small,X-Large",Westernwear,2095.0,50.0,1047.0
black panther,womens stripe socks pack of 3 - multi,Free Size,Westernwear,2008.5116138398257,0.0,299.0
sera,floral sweetheart neck polyester womens regular dress - black,"Size:Large,Medium,X-Large",Westernwear,1998.0,55.0,899.0
dolce crudo,womens regular fit tell me what to do colour block t-shirt dress - multi,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1799.0,60.0,719.0
van heusen,solid regular fit polyester womens formal pants - turquoise,"Size:26,28,30,32,34",Westernwear,2008.5116138398257,41.0,1999.0
ayesha,matte black sequence reusable mask with sitra certified filter,Free Size,Westernwear,999.0,50.0,499.0
life,women blended socks - multi,Free Size,Westernwear,2008.5116138398257,50.0,299.0
pepe,washed tencel round neck womens top - indigo,"Size:Large,Medium,Small,X-Large",Westernwear,2199.0,40.0,1319.0
samshek,solid cotton collar neck womens regular top - yellow,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",Westernwear,2008.5116138398257,20.0,1649.0
emblaze,solid viscose round neck womens top - olive,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2008.5116138398257,0.0,2500.0
lovegen,patch collared neck cotton womens casual wear jacket - mid blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2699.0,50.0,1349.0
dolce crudo,solid notch collar fleece womens casual wear jacket - black,"Size:Large,Medium,Small,X-Small",Westernwear,4995.0,60.0,1998.0
de moza,solid cotton regular fit womens joggers - peach,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,2008.5116138398257,40.0,1499.0
emblaze,solid round neck viscose womens dress - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2008.5116138398257,0.0,2600.0
levis,skinny fit regular length cotton polyester womens jeans - dk indigo,"Size:26,28,30,32",Westernwear,2008.5116138398257,0.0,2399.0
sera,womens printed mid-rise regular shorts - purple,"Size:Large,Medium,Small,X-Large",Westernwear,1094.0,60.0,437.0
puma,printed polyester round neck womens athleisure top - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1999.0,30.0,1399.0
only,all over print polyester v neck womens t-shirt - orange,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1999.0,30.0,1399.0
vero moda,printed cotton round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1299.0,20.0,1039.0
crimsoune club,printed poly cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large",Westernwear,899.0,30.0,629.0
109f,stripes shirt collar rayon womens casual shirt - off white,"Size:Large,Medium,Small,XX-Large",Westernwear,2008.5116138398257,60.0,1599.0
stop,printed regular neck cotton womens formal shirt - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2008.5116138398257,50.0,899.0
sera,solid collar neck cotton womens blouson top - pink,"Size:Large,Medium,Small,X-Large",Westernwear,1498.0,50.0,749.0
levis,womens 5 pocket rinse wash jeans - light blue,"Size:26,27,28,30,32,34",Westernwear,2008.5116138398257,0.0,2799.0
samshek,solid crepe scoop neck womens regular top - black,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large",Westernwear,1390.0,20.0,1112.0
campus sutra,solid crepe v neck womens top - wine,"Size:Large,Medium,Small,X-Large",Westernwear,2008.5116138398257,0.0,1299.0
only,solid cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Small",Westernwear,1999.0,50.0,999.0
vero moda,solid modal v neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1999.0,30.0,1399.0
zink london,solid viscose blend round neck womens top - purple,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,1399.0,40.0,839.0
